"trial","ref_position","var_area","response","correct","rt"
1,"R",8.47338100685738,"R",TRUE,1.96600008010864
2,"R",14.2796217342839,"L",TRUE,1.98399996757507
3,"L",14.3464531158097,"R",TRUE,1.57200002670288
4,"R",8.89669344713911,"R",TRUE,1.1949999332428
5,"L",12.2064306619577,"R",TRUE,1.32099986076355
6,"L",13.9170497979503,"R",TRUE,1.20099997520447
7,"L",13.3250139923766,"R",TRUE,1.43600010871887
8,"R",13.4628962702118,"L",TRUE,2.19400000572205
9,"L",12.9011096197646,"R",TRUE,1.61199998855591
10,"R",14.802005174337,"L",TRUE,1.42000007629395
11,"R",13.1396953684743,"R",FALSE,1.31900000572205
12,"R",12.3948627889622,"L",TRUE,1.53499984741211
13,"R",10.0231046413537,"R",FALSE,1.52099990844727
14,"L",9.36171789956279,"R",TRUE,1.30799984931946
15,"L",14.1576854132582,"R",TRUE,1.22699999809265
16,"L",14.8098429522943,"R",TRUE,1.31500005722046
17,"L",8.13539390638471,"R",FALSE,1.20299983024597
18,"R",10.0980770294555,"L",TRUE,1.61400008201599
19,"R",10.5052414061502,"R",FALSE,1.40400004386902
20,"L",13.9389529810287,"R",TRUE,1.69199991226196
